Datum;Spieleranzahl;Spieldauer;Sieger;Version;Online;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;Spieler.1;Spieler.2;Spieler.3;Spieler.4;Spieler.5;Spieler.6;Nutzer
25.10.2020;2;00:36:31;Lukas;1;0;4;4;7;12;8;4;5;10;2;5;1;Lukas;Nina;NA;NA;NA;NA;Lukas
26.10.2020;2;00:32:35;Lukas;1;0;4;2;7;5;16;8;9;7;6;2;3;Lukas;Nina;NA;NA;NA;NA;Lukas
26.10.2020;2;00:33:58;Nina;1;0;4;5;10;7;12;16;14;12;7;3;4;Lukas;Nina;NA;NA;NA;NA;Lukas
27.10.2020;2;00:29:46;Lukas;1;0;4;4;4;4;16;7;6;4;7;5;2;Lukas;Nina;NA;NA;NA;NA;Lukas
28.10.2020;2;00:21:00;Nina;1;0;3;2;2;8;7;6;11;9;6;3;1;Lukas;Nina;NA;NA;NA;NA;Lukas
28.10.2020;2;00:21:21;Nina;1;0;1;3;3;9;5;8;7;6;5;6;2;Lukas;Nina;NA;NA;NA;NA;Lukas
29.10.2020;2;00:17:37;Lukas;1;0;1;1;5;4;3;9;12;8;1;1;1;Lukas;Nina;NA;NA;NA;NA;Lukas
29.10.2020;2;00:26:11;Nina;1;0;3;5;9;5;9;11;8;2;5;2;1;Lukas;Nina;NA;NA;NA;NA;Lukas
29.10.2020;2;00:23:27;Lukas;1;0;2;3;5;3;7;8;6;4;8;6;2;Lukas;Nina;NA;NA;NA;NA;Lukas
07.11.2020;2;00:35:41;Nina;1;0;2;2;4;8;15;13;6;6;4;3;2;Lukas;Nina;NA;NA;NA;NA;Lukas
07.11.2020;2;00:57:34;Nina;1;0;2;6;12;7;10;15;16;8;8;4;2;Lukas;Nina;NA;NA;NA;NA;Lukas
27.11.2020;3;00:56:54;Nina;2;0;0;4;9;2;9;8;7;9;3;2;3;Lukas;Nina;Liz;NA;NA;NA;Lukas
27.11.2020;3;00:56:54;Liz;3;0;3;3;11;6;9;17;8;8;1;3;4;Lukas;Nina;Liz;NA;NA;NA;Lukas
01.02.2021;2;00:39:00;Nina;4;1;2;4;2;9;9;7;5;5;7;5;1;Lukas;Nina;Computer 1;Computer 2;NA;NA;Lukas
01.02.2021;2;01:09:52;Nina;4;1;2;4;6;14;22;33;10;13;11;3;4;Lukas;Nina;Computer 1;Computer 2;NA;NA;Lukas
02.02.2021;2;00:57:41;Lukas;4;0;1;9;5;10;9;8;7;9;10;2;1;Lukas;Nina;NA;NA;NA;NA;Lukas
03.02.2021;3;01:00:38;Lukas;2;0;5;3;7;10;9;7;8;4;4;4;1;Lukas;Nina;Liz;NA;NA;NA;Lukas
03.02.2021;3;00:33:47;Nina;3;0;2;2;10;0;12;15;9;8;3;5;1;Lukas;Nina;Liz;NA;NA;NA;Lukas
04.02.2021;2;00:28:17;Nina;2;1;2;2;9;10;5;8;7;2;4;4;1;Lukas;Nina;Computer 1;Computer 2;NA;NA;Lukas
09.02.2021;2;00:40:19;Lukas;2;1;1;2;8;13;7;13;11;6;9;3;2;Lukas;Nina;Computer 1;Computer 2;NA;NA;Lukas
21.02.2021;2;00:32:20;Nina;2;1;3;4;5;8;6;13;6;9;2;7;3;Lukas;Nina;Computer 1;Computer 2;NA;NA;Lukas
"26.02.2021";"2";"00:00:05";"Nina";"2";"0";1;0;0;1;3;1;0;0;1;0;0;"Lukas";"Nina";"NA";"NA";"NA";"NA";"Lukas"
